author,text,likes,published_at,sentiment
@dhruvrathee,"🌏 Get an exclusive NordVPN deal here ➵  https://NordVPN.com/dhruv
It’s risk-free with Nord’s 30-day money-back guarantee!",1531,2025-05-31T08:03:15Z,Positive
@All.vlogars,😅😅😅😅😅😅,0,2025-05-31T14:44:47Z,Neutral
@sarahthomas2922,"27:30-28 news, all.",0,2025-05-31T14:44:43Z,Neutral
@goatemporium1350,Phir khud kushi ku ker rhe ap k old gernal 😂😂,0,2025-05-31T14:44:40Z,Neutral
@KamranKhanzada-n3e,Yah to tumhra aaba isreal hay yah tum hinduo k dushman hay 😂😂😂😂😂,0,2025-05-31T14:44:39Z,Neutral
@rishantkarki6639,Bhai nepal ka politics ka vi karo vai,0,2025-05-31T14:44:38Z,Neutral
@Isahakdriving007vlogs,Vote for Dhruv Rathi❤❤❤,1,2025-05-31T14:44:34Z,Neutral
@ArbabisPlaying,kitne paise mile ? 😂😂😂,0,2025-05-31T14:44:34Z,Neutral
@AaftabBaig-s9o,👍👍👍,0,2025-05-31T14:44:32Z,Neutral
@brijeshk888,"कभी पश्चिम बंगाल में हुए दंगे के बारे में बोल देता, तुम्हें वे लोग कट्टरपंथी नहीं दिखेंगे 😡😡😡",1,2025-05-31T14:44:31Z,Neutral
@tahiraali3145,"We’re truly sorry for the lives lost in India ,no innocent soul deserves that. Yes, Pakistan doesn’t have the best government or past, but that doesn’t make it automatically responsible for the attack . Attacking without proof isn’t justice. Civilians here died too. You call it a strike on terror. Pain exists on both sides so stop blaming, start finding the truth. pakistan did nothing for you to say that.",0,2025-05-31T14:44:30Z,Negative
@zainabzerminshow4165,False flag operation nahi tha tu suboot kio nahi de Rahi indian gov,0,2025-05-31T14:44:28Z,Neutral
@ayushmalvi4994,Murshidabad hinsa ka video bhi banaa De,0,2025-05-31T14:44:27Z,Neutral
@umairbaksh109,yr jo inho ne islamabad fatah kr liya karachi port pr attack in news ky bare me kya bt kry gy,0,2025-05-31T14:44:27Z,Negative
@MFTAYAS,I love you bro ❤❤❤❤,0,2025-05-31T14:44:23Z,Positive
@AzlanKhalid-v7r,Mera mulk wale india ke hak me hw ya nahi wo alag bat he lekin me dil se indian ke dil se izat karta hu,0,2025-05-31T14:44:23Z,Positive
@Ashuuplayz_yt,Pakistan zindabad Indiaa media fake their PM fake and also there people's too,0,2025-05-31T14:44:18Z,Negative
@MiniAmazonStore,"Kya jimay wari jimay wari, itne educated ho to lafzon ki pronunciation b dhyan me rkho, zimme dari lafz Hota hai.",0,2025-05-31T14:44:13Z,Neutral
@KesariGoutam,कौन कौन मानता है कि हमारा ध्रुव भाई एक सच्चा ईमानदार पत्रकार है,0,2025-05-31T14:44:06Z,Neutral
@riazawan9940,"Ap 1 imran khan k  lye video bnao.... But Real story
And chak the Views 🥰",0,2025-05-31T14:44:02Z,Neutral
@potterhead_34,"Oh plzz you are not even journalist I wonder why when so much Indians are fascinated by you are not a journalist just a youtuber with his cheap tactics 
We don't care about you 
Long live Pakistan 🇵🇰",0,2025-05-31T14:44:02Z,Neutral
@ibnghazi8087,India lost .... its finished,0,2025-05-31T14:44:00Z,Negative
@user-oh3zq7ow3f,but what about you own krnel who accepted tthe atttack and why attttacks always happwn when modi is abt tto sttepin elections,0,2025-05-31T14:43:59Z,Positive
