author,text,likes,published_at,sentiment
@anujsrawat,"Bites from our elected politicians cannot be copyrighted at all because it's the government who pick and chose whom they are going yo give bites than how it is fault of individuals for using such clips, when those bites are used to explain that politicians aide of story.. Other than than do whatever laws says.. We as citizens of this country has every rights to access to things and content where our politicians are saying anything and access to his saying is limited by them only...",0,2025-06-02T07:40:32Z,Negative
@RamachandraMohanta-u4u,low chakra ko mohok ko 1 cr dena hoga uska clip use karne ke liye ? 🤔,0,2025-06-02T01:40:48Z,Neutral
@nitinParmar-n6y,Prush ko aya tha 1:37,0,2025-05-31T13:58:40Z,Neutral
@talkshort100,Needs clear law for this...,0,2025-05-31T10:57:44Z,Positive
@LALITADITYA56,ANI is Right 👍👍👍,1,2025-05-31T08:41:55Z,Neutral
@unplannedjourneyz,ANI ko ye karne k liye kisi aur ne bola hoga...,1,2025-05-31T07:37:51Z,Neutral
@chaxreports,"ANI should have sent a warning to Mohak Mangal and other youtubers regarding ""copyright strike"" for using ANI's footage without license before actually going for the strike. 
The point is setups like these is exactly done to facilitate extortion. It is a shame that the copyright strike is done unilaterally and now the Judge is working at their behest by not asking relevant questions like this. Evidently a lot of things are at stake.",1,2025-05-31T07:21:40Z,Negative
@sknadimulhaque,Mohak Mangal should make YouTube a party to the case and sue them for dereliction.,3,2025-05-31T06:37:36Z,Positive
@johnisalive2776,Mohak done very good work bash Ani the scoundrel channel,3,2025-05-30T20:29:04Z,Positive
@srikant85,#StandWithMohak #ShameOnANI #ShameOnYoutubeIndia,0,2025-05-30T18:48:40Z,Neutral
@natraj03,News giant kar kar kuch nai hota...,0,2025-05-30T18:31:40Z,Neutral
@bikashkar4211,Law chakra bhi phattu nikli.. mat dekho is channel ko,0,2025-05-30T17:30:23Z,Neutral
@bikashkar4211,Pura desh dalal bana hua he,1,2025-05-30T17:28:57Z,Neutral
@kaushalsharma7670,shame on ANI,3,2025-05-30T14:57:30Z,Negative
@aakashkvlog3224,Please don't put your opinion just say the news,0,2025-05-30T13:04:45Z,Positive
@sudiptokumar986,ANI ka itna daar h ki law chakra ne sirf mohak ka footage use Kiya. Lakeen ani ka nahi kiyaaa,1,2025-05-30T12:47:51Z,Neutral
@aakashkvlog3224,Please don't put your opinion just say the news,1,2025-05-30T12:41:45Z,Positive
@HarshalBorole-j6w,ANI is mafia😡😡😡 shame on ANI😢,7,2025-05-30T11:42:06Z,Negative
@HarshalBorole-j6w,Support to mohak ❤❤❤❤,1,2025-05-30T11:40:56Z,Positive
@bubun123456,"I'm with Mohak.

ANI has already gotten what it deserves. There's a massive outrage, and the majority of people are against it now!",1,2025-05-30T11:35:58Z,Negative
@gouravmunda639,Law chakra kya app log bhi 18 lakhs rupees danga???,5,2025-05-30T11:23:38Z,Neutral
@stopbeingcontrolled,"6L TV CHANNELS K LIYE HAI! JAHA EK CHANNEL KO TRP K GHANTO KA LAKHO CARODO MILTA HAI. 
YOUTUBE ME TRP NAHI VEWS HAI!",0,2025-05-30T11:19:56Z,Neutral
@PRATTHAM100,"Mohak is trying to be oversmart, he wants to earn money on videos made by ANI.  Create your own videos dude. If you cant, at least ask permission from ANI before using their footage.  Dont steal copyright content, not a fair practice. And then call the creator as mafia when they charge you.  How stupid",2,2025-05-30T11:09:26Z,Neutral
@karnchaturvedi,"Wow narrative …people like Mohak ….can create narratives …which can be disastrous. 
This needs to be check. Every YouTube must be responsible…for the issues which can happen due to there narrative building. 
Don’t you now YouTube’s have too much power ?
They are able to manipulate the elections. 
Government must have some control before these people go out of control.",0,2025-05-30T11:04:38Z,Positive
